Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
5/6/2010,26,33,28,78,0,5,4,120,3,135
6/6/2010,24,32,28,78,68,4,3,90,3,90
7/6/2010,26,31,28,82,5,2,2,90,3,135
8/6/2010,26,31,27,80,1,1,3,360,2,90
9/6/2010,25,31,28,81,34,1,5,90,4,90
10/6/2010,25,31,27,81,0,3,6,180,3,135
11/6/2010,26,33,29,76,0,7,5,90,3,90
12/6/2010,27,33,29,75,0,4,4,120,4,135
13/06/2010,25,32,28,79,1,7,3,360,3,315
14/06/2010,26,33,29,79,10,6,3,110,2,0
15/06/2010,26,32,28,79,1,2,3,360,4,0
16/06/2010,26,32,27,83,0,2,4,330,2,315
17/06/2010,23,28,26,89,0,0,2,330,2,315
18/06/2010,26,32,28,78,0,4,4,100,2,90
19/06/2010,26,33,29,69,0,7,3,90,2,90
20/06/2010,27,33,30,64,0,7,4,90,4,90
21/06/2010,25,33,28,70,0,8,5,90,6,90
22/06/2010,24,33,28,65,0,8,6,120,4,135
23/06/2010,25,34,29,65,0,6,6,120,4,135
24/06/2010,26,33,29,72,0,4,6,120,3,135
25/06/2010,26,32,28,77,0,4,2,330,3,315
26/06/2010,25,33,28,82,6,8,3,330,2,315
27/06/2010,24,33,28,74,9,8,4,100,3,90
28/06/2010,25,32,29,68,11,7,6,90,3,90
29/06/2010,26,32,28,74,3,7,5,120,4,135
30/06/2010,26,33,29,66,0,6,4,100,3,135
1/7/2010,27,33,29,70,0,8,3,90,4,90
2/7/2010,25,33,29,75,0,7,3,90,3,90
3/7/2010,26,29,27,83,0,0,2,320,3,315
4/7/2010,25,31,27,83,12,2,3,350,2,0
5/7/2010,25,28,27,88,0,0,2,270,3,270
6/7/2010,25,32,28,78,10,4,2,350,2,315
7/7/2010,25,33,28,79,0,8,4,360,2,90
8/7/2010,26,31,28,80,0,6,3,360,2,315
9/7/2010,24,33,28,73,0,6,4,90,4,90
10/7/2010,25,31,28,77,0,2,4,120,3,135
11/7/2010,25,31,27,84,0,6,4,210,3,225
12/7/2010,24,33,28,77,0,8,4,90,2,90
13/07/2010,26,33,29,70,0,7,4,90,4,90
14/07/2010,25,33,28,75,0,8,3,90,3,90
15/07/2010,26,34,29,70,0,7,6,110,3,90
16/07/2010,26,32,29,67,0,5,4,100,5,135
17/07/2010,25,31,28,80,0,1,3,90,3,315
18/07/2010,24,31,27,85,3,2,3,90,2,90
19/07/2010,25,32,28,81,0,8,3,360,2,0
20/07/2010,25,32,28,76,18,6,3,90,3,90
21/07/2010,25,33,28,74,0,8,4,90,3,90
22/07/2010,24,32,28,73,0,8,4,320,3,315
23/07/2010,24,34,28,61,0,8,6,120,3,135
24/07/2010,22,33,28,66,0,8,3,90,3,90
25/07/2010,25,32,27,76,0,1,3,90,2,135
26/07/2010,25,32,28,76,4,4,3,90,4,90
27/07/2010,27,33,29,74,0,2,5,360,5,90
28/07/2010,25,31,28,78,9,2,7,90,3,135
29/07/2010,25,32,28,74,0,7,5,90,4,90
30/07/2010,26,34,29,70,0,8,5,90,4,90
31/07/2010,25,34,30,65,0,8,3,90,4,90
1/8/2010,24,33,28,70,0,6,3,320,3,315
2/8/2010,24,34,28,60,0,6,4,330,3,315
3/8/2010,24,33,27,74,15,2,4,120,2,135
4/8/2010,26,32,27,73,0,2,4,320,2,135
5/8/2010,25,32,28,68,15,4,3,360,3,135
6/8/2010,25,32,29,64,0,5,3,90,3,0
7/8/2010,25,33,27,82,0,4,3,230,2,90
8/8/2010,23,33,28,53,50,6,4,40,3,90
9/8/2010,25,33,28,53,0,6,4,120,3,135
10/8/2010,26,33,29,61,0,5,5,120,4,135
11/8/2010,26,33,30,55,0,6,4,120,5,90
12/8/2010,27,34,30,57,0,6,4,90,5,90
13/08/2010,27,33,30,63,0,5,3,80,5,90
14/08/2010,27,34,29,56,4,6,6,40,4,90
15/08/2010,26,33,29,60,0,6,4,90,4,90
16/08/2010,26,32,28,64,33,6,4,340,3,315
17/08/2010,25,32,28,68,0,5,2,360,3,90
18/08/2010,26,33,29,64,0,6,3,90,3,90
19/08/2010,26,32,28,70,1,6,3,360,3,315
20/08/2010,25,32,28,67,0,6,5,320,4,315
21/08/2010,26,30,28,72,0,1,4,320,3,315
22/08/2010,25,31,27,71,3,3,4,360,2,315
23/08/2010,23,29,26,78,16,0,3,90,3,90
24/08/2010,26,31,28,69,0,3,3,120,2,135
25/08/2010,24,34,28,64,9,5,3,360,3,90
26/08/2010,27,34,30,55,0,6,5,120,5,90
27/08/2010,25,32,28,74,31,6,4,350,4,315
28/08/2010,25,32,28,65,4,6,4,40,3,315
29/08/2010,25,33,29,56,8,6,3,120,3,135
30/08/2010,25,33,29,58,0,6,3,200,3,180
31/08/2010,26,33,30,56,0,6,4,200,3,180
1/9/2010,26,33,29,68,0,8,3,90,5,90
2/9/2010,26,34,29,74,0,6,5,315,4,315
3/9/2010,24,33,29,73,21,8,4,315,3,315
4/9/2010,25,33,29,70,0,8,4,360,3,0
5/9/2010,26,33,28,78,0,6,3,360,3,0
6/9/2010,24,28,26,91,21,1,2,270,4,270
7/9/2010,24,31,27,84,18,1,4,315,2,315
8/9/2010,24,31,27,84,47,5,4,135,3,135
9/9/2010,24,31,27,83,0,4,4,360,3,0
10/9/2010,25,31,27,82,0,6,3,360,2,0
11/9/2010,25,31,28,78,1,7,2,315,3,315
12/9/2010,25,31,27,86,0,7,4,135,3,135
13/09/2010,24,32,27,85,10,5,3,90,4,90
14/09/2010,24,33,29,74,27,8,3,90,2,90
15/09/2010,27,32,29,74,0,7,3,315,4,315
16/09/2010,25,30,27,89,1,2,2,360,4,0
17/09/2010,24,33,27,82,42,6,3,45,2,45
18/09/2010,25,32,29,78,6,6,5,90,3,90
19/09/2010,26,34,29,76,0,7,4,90,3,90
20/09/2010,26,33,29,80,11,5,5,45,3,45
21/09/2010,26,33,29,76,5,6,3,90,3,90
22/09/2010,26,31,27,80,3,2,5,45,3,45
23/09/2010,25,33,28,80,0,7,4,90,4,90
24/09/2010,25,32,26,88,0,3,4,135,3,135
25/09/2010,25,32,27,82,25,3,6,135,4,135
26/09/2010,25,33,28,77,19,5,4,135,3,135
27/09/2010,25,34,29,76,4,8,3,90,3,90
28/09/2010,26,33,29,77,0,5,2,90,3,90
29/09/2010,26,32,29,78,0,8,4,315,3,315
30/09/2010,25,32,29,76,0,8,8,315,3,315
1/10/2010,24,34,29,76,0,7,4,120,4,135
2/10/2010,26,34,29,74,23,6,7,120,3,90
3/10/2010,27,34,30,67,0,8,5,90,5,90
4/10/2010,27,35,30,68,0,6,4,90,4,90
5/10/2010,26,35,30,72,0,7,4,360,4,135
6/10/2010,26,32,29,76,2,7,5,320,3,315
7/10/2010,25,31,28,79,0,4,8,90,4,315
8/10/2010,25,30,27,78,0,1,4,350,4,315
9/10/2010,25,30,27,80,1,1,3,360,3,135
10/10/2010,23,31,27,76,1,8,3,320,3,315
11/10/2010,24,31,28,70,5,8,3,330,3,0
12/10/2010,24,32,28,78,0,8,4,260,3,0
13/10/2010,24,33,29,70,0,7,4,350,3,315
14/10/2010,26,33,28,75,0,2,4,120,3,135
15/10/2010,25,32,29,78,0,3,3,360,3,0
16/10/2010,26,32,28,83,35,2,3,320,3,315
17/10/2010,24,32,29,78,47,7,3,360,3,315
18/10/2010,24,32,27,90,32,4,4,360,3,0
19/10/2010,24,32,28,74,0,8,4,350,3,315
20/10/2010,26,34,28,81,7,6,5,320,3,315
21/10/2010,25,31,25,89,27,3,5,200,3,0
22/10/2010,24,33,28,82,0,6,2,270,3,180
23/10/2010,25,31,29,81,38,6,3,180,3,315
24/10/2010,24,33,28,86,0,7,5,360,3,90
25/10/2010,25,33,28,82,25,5,6,90,3,45
26/10/2010,25,33,29,76,1,7,5,90,3,45
27/10/2010,25,33,28,82,28,6,3,360,3,0
28/10/2010,24,30,27,86,0,1,2,360,3,0
29/10/2010,25,32,29,76,0,7,2,360,2,315
30/10/2010,26,31,28,81,0,1,4,350,3,315
31/10/2010,25,31,27,84,0,3,3,360,3,0
1/11/2010,25,32,28,78,2,3,5,320,2,315
2/11/2010,26,31,28,79,0,3,3,270,3,315
3/11/2010,25,32,28,77,3,1,2,270,3,270
4/11/2010,26,31,28,82,0,4,4,330,2,0
5/11/2010,25,31,27,84,10,1,4,270,3,0
6/11/2010,24,31,27,82,1,2,4,320,2,315
7/11/2010,24,29,26,90,27,0,2,360,3,0
8/11/2010,25,31,28,84,9,4,3,360,2,0
9/11/2010,25,32,27,86,4,3,3,360,3,0
10/11/2010,24,32,28,74,39,4,3,90,3,90
11/11/2010,26,33,30,67,0,5,5,120,3,135
12/11/2010,25,33,29,71,2,4,6,360,4,90
13/11/2010,25,31,28,78,0,1,6,270,3,270
14/11/2010,24,31,28,78,18,6,3,30,2,0
